ID,Feature_ID,Language_ID,Value,Date,Source,Note,Code_ID,Reminder (delete this column)
AUTOMATIC,Pos_Coord,lati1261,1,-300,"Pitts 2023, 227",only postpositional -que is attested in the earliest epigraphy,Pos_Coord_1,
,Pos_Coord,lati1261,0,-200,"Pinkster 2021, 622",et is dominant over -que in Plautus,Pos_Coord_0,
,Pos_Coord,lati1261,0,-26,"Pinkster 2021, 622",et is dominant in most classical authors,Pos_Coord_0,
,Pos_Coord,lati1261,0,79,"Pinkster 2021, 621",et is dominant in graffiti at Pompeii,Pos_Coord_0,
,Pos_Coord,lati1261,0,400,"Pinkster 2021, 622",et is vastly dominant in Augustine's work,Pos_Coord_0,
,Ord_Gen,lati1261,0,-185,"Bauer 2009, 265",In the Senatus Consultum de Bacchanalibus the order GN predominates,Ord_Gen_0,
,Ord_Gen,lati1261,1,-26,"Bauer 2009, 266","In Classical Latin NG is less marked, perhaps as early as Plautus",Ord_Gen_1,
,Ord_Gen,lati1261,1,400,"Bauer 2009, 267",In later Latin the tendency towards NG strengthens,Ord_Gen_1,
,Ord_Adj,lati1261,0,-200,"Pitts 2023, 184",In early Latin adjectives tend to follow the noun,Ord_Adj_0,
,Ord_Adj,lati1261,0,-600,"Pitts 2023, 184",In early Latin adjectives tend to follow the noun,Ord_Adj_0,
,Ord_Gen,lati1261,0,-300,"Pitts 2023, 179",In the earliest Latin genitives precede,Ord_Gen_0,
,Ord_Obj,lati1261,0,-650,"Pitts 2023, 166",From its earliest attestation Latin shows OV word order,Ord_Obj_0,
,Ord_Obj,lati1261,0,-185,"Bauer 2009, 265",In the Senatus Consultum de Bacchanalibus the verb-final order predominates,Ord_Obj_0,
,Ord_Obj,lati1261,0,-200,"Bauer 2009, 269","Plautus prefers OV, although with a significant proportion of OV",Ord_Obj_0,
,Ord_Obj,lati1261,1,385,"Adams 1976, 93",The Peregrinatio Aetheriae prefers VO,Ord_Obj_1,
,Ord_Obj,lati1261,1,110,"Adams 1976, 94",The letters of Terentianus show a preference for VO,Ord_Obj_1,
,Ord_Obj,lati1261,0,-26,"Adams 1976, 94",Classical authors prefer OV,Ord_Obj_0,
,Overt_Acc,lati1261,1,-550,CEIPoM,From its earliest attestation Latin has a productive accusative case,Overt_Acc_1,
,Agr_Acc,lati1261,1,-550,CEIPoM,From its earliest attestation Latin has a productive accusative case,Agr_Acc_1,
,Agr_Loc,lati1261,0,-300,CEIPoM,From its earliest attestation Latin expresses productive locatives analytically,Agr_Loc_0,
,Agr_Dat,lati1261,1,-600,CEIPoM,From its earliest attestation Latin has a productive dative case,Agr_Dat_1,
,Agr_Dat,lati1261,0,600,"Clackson & Horrocks 2011, 277",An analytic ad takes over dative functions,Agr_Dat_0,
,Agr_Dat,lati1261,1,400,Vulgate,In the Vulgate Latin has a productive dative case,Agr_Dat_1,
,Rank_Temp,lati1261,1,-200,CEIPoM,"Both balanced and deranked exist, but participial (e.g. absolute) deranked appear to predominate",Rank_Temp_1,
,Rank_Temp,lati1261,1,-26,AGDT,Classical texts mostly deranked? (participial and subjunctives),Rank_Temp_1,
,Rank_Temp,lati1261,1,400,Vulgate,Deranked? subjunctives?,Rank_Temp_1,
,Aff_Nom,lati1261,0,-650,CEIPoM,Latin nominal system mostly suffixal from earliest attestation,Aff_Nom_0,
,Aff_Vrb,lati1261,0,-650,CEIPoM,Latin nominal system mostly suffixal from earliest attestation,Aff_Vrb_0,
,Loc_Obj,lati1261,1,-550,CEIPoM,Latin objects are dependent-marked from the earliest attestation,Loc_Obj_1,
,Loc_Gen,lati1261,0,-650,CEIPoM,Latin genitives are dependent-marked from the earliest attestation,Loc_Gen_0,
,Agr_Gend,lati1261,1,-650,CEIPoM,Latin shows gender agreement from its earliest attestation,Agr_Gend_1,
,Pos_Coord,osca1245,0,-300,CEIPoM,Oscan has only the medial coordinator íním,Pos_Coord_0,
,Pos_Coord,osca1245,0,-100,CEIPoM,Oscan has only the medial coordinator íním,Pos_Coord_0,
,Overt_Acc,osca1245,1,,"Wallace 2007, 18",Oscan has an overt accusative,Overt_Acc_1,
,Agr_Acc,osca1245,1,,"Wallace 2007, 18",Oscan expresses all relevant case relations synthetically,Agr_Acc_1,
,Agr_Acc,osca1245,1,,"Wallace 2007, 18",Oscan expresses all relevant case relations synthetically,Agr_Acc_1,
,Agr_Acc,osca1245,1,,"Wallace 2007, 18",Oscan expresses all relevant case relations synthetically,Agr_Acc_1,
,Aff_Nom,osca1245,0,,Wallace 2007,,Aff_Nom_0,
,Aff_Vrb,osca1245,0,,Wallace 2007,,Aff_Vrb_0,
,Loc_Obj,osca1245,1,,Wallace 2007,,Loc_Obj_1,
,Loc_Gen,osca1245,0,,Wallace 2007,,Loc_Gen_0,
,Rank_Temp,osca1245,0,,"Wallace 2007, 43","Balanced (indicative in subordinate clauses, not many examples of abl. abs.)",Rank_Temp_0,
,Agr_Gend,osca1245,1,,Wallace 2007,,Agr_Gend_1,
,Ord_Acc,osca1245,0,,"Pitts 2023, 168",Throughout its attestation Oscan is OV,Ord_Acc_0,
,Ord_Gen,osca1245,0,,"Pitts 2023, 184",Throughout its attestation Oscan non-proper genitives tend to precede their head noun,Ord_Gen_0,
